TEAM_ABRV,RANGE,FGM_range,FGA_range,FG_PERCENTAGE,PPS_range,PTS_range,FGM_total,FGA_total,PTS_total,EFG,PPS_total,shotRangeRatio
DAL,SMR,177,468,0.3782051282051282,0.7564102564102565,354,1207,2641,2774,0.5251798561151079,1.0503597122302157,0.1772056039379023
DEN,3PT,305,886,0.3442437923250564,1.0327313769751694,915,1239,2662,2784,0.5229151014274981,1.0458302028549962,0.33283245679939893
DEN,LMR,120,272,0.4411764705882353,0.8860294117647058,241,1239,2662,2784,0.5229151014274981,1.0458302028549962,0.10217881292261458
DEN,RIM,614,1029,0.5966958211856171,1.193391642371234,1228,1239,2662,2784,0.5229151014274981,1.0458302028549962,0.38655146506386173
DEN,SMR,200,475,0.42105263157894735,0.8421052631578947,400,1239,2662,2784,0.5229151014274981,1.0458302028549962,0.17843726521412473
DET,3PT,330,1009,0.3270564915758176,0.9811694747274529,990,1186,2718,2703,0.49724061810154524,0.9944812362030905,0.37122884473877854
DET,LMR,97,239,0.40585774058577406,0.8158995815899581,195,1186,2718,2703,0.49724061810154524,0.9944812362030905,0.08793230316409124
DET,RIM,597,1024,0.5830078125,1.166015625,1194,1186,2718,2703,0.49724061810154524,0.9944812362030905,0.376747608535688
DET,SMR,162,446,0.3632286995515695,0.726457399103139,324,1186,2718,2703,0.49724061810154524,0.9944812362030905,0.16409124356144222
GSW,3PT,392,1022,0.3835616438356164,1.1506849315068493,1176,1405,2900,3202,0.5520689655172414,1.1041379310344828,0.3524137931034483
GSW,LMR,306,630,0.4857142857142857,0.9714285714285714,612,1405,2900,3202,0.5520689655172414,1.1041379310344828,0.21724137931034482
GSW,RIM,515,789,0.6527249683143219,1.3054499366286438,1030,1405,2900,3202,0.5520689655172414,1.1041379310344828,0.27206896551724136
GSW,SMR,192,459,0.41830065359477125,0.8366013071895426,384,1405,2900,3202,0.5520689655172414,1.1041379310344828,0.15827586206896552
HOU,3PT,444,1280,0.346875,1.040625,1332,1175,2607,2796,0.5362485615650172,1.0724971231300344,0.49098580744150366
HOU,LMR,40,93,0.43010752688172044,0.881720430107527,82,1175,2607,2796,0.5362485615650172,1.0724971231300344,0.03567318757192175
HOU,RIM,581,928,0.6260775862068966,1.2521551724137931,1162,1175,2607,2796,0.5362485615650172,1.0724971231300344,0.35596471039509014
HOU,SMR,110,306,0.35947712418300654,0.7189542483660131,220,1175,2607,2796,0.5362485615650172,1.0724971231300344,0.11737629459148446
IND,3PT,305,820,0.3719512195121951,1.1158536585365855,915,1339,2821,2983,0.5287132222616093,1.0574264445232187,0.29067706487061323
IND,LMR,219,527,0.4155597722960152,0.8311195445920304,438,1339,2821,2983,0.5287132222616093,1.0574264445232187,0.18681318681318682
IND,RIM,634,1045,0.6066985645933014,1.2133971291866028,1268,1339,2821,2983,0.5287132222616093,1.0574264445232187,0.37043601559730593
IND,SMR,181,429,0.4219114219114219,0.8438228438228438,362,1339,2821,2983,0.5287132222616093,1.0574264445232187,0.15207373271889402
LAC,3PT,294,789,0.3726235741444867,1.11787072243346,882,1315,2776,2924,0.526657060518732,1.053314121037464,0.2842219020172911
LAC,LMR,174,411,0.4233576642335766,0.8467153284671534,348,1315,2776,2924,0.526657060518732,1.053314121037464,0.14805475504322765
LAC,RIM,622,1053,0.5906932573599241,1.1813865147198481,1244,1315,2776,2924,0.526657060518732,1.053314121037464,0.3793227665706052
LAC,SMR,225,523,0.43021032504780116,0.8604206500956023,450,1315,2776,2924,0.526657060518732,1.053314121037464,0.18840057636887608
LAL,3PT,344,990,0.3474747474747475,1.0424242424242425,1032,1381,2889,3106,0.5375562478366217,1.0751124956732434,0.3426791277258567
LAL,LMR,121,312,0.38782051282051283,0.7756410256410257,242,1381,2889,3106,0.5375562478366217,1.0751124956732434,0.10799584631360332
LAL,RIM,780,1223,0.6377759607522485,1.2755519215044973,1560,1381,2889,3106,0.5375562478366217,1.0751124956732434,0.42332987192800275
LAL,SMR,136,364,0.37362637362637363,0.7472527472527473,272,1381,2889,3106,0.5375562478366217,1.0751124956732434,0.12599515403253722
MEM,3PT,306,864,0.3541666666666667,1.0625,918,1185,2602,2676,0.5142198308993082,1.0284396617986165,0.3320522674865488
MEM,LMR,120,315,0.38095238095238093,0.7619047619047619,240,1185,2602,2676,0.5142198308993082,1.0284396617986165,0.12106072252113759
MEM,RIM,551,892,0.6177130044843049,1.2354260089686098,1102,1185,2602,2676,0.5142198308993082,1.0284396617986165,0.34281322059953884
MEM,SMR,208,531,0.391713747645951,0.783427495291902,416,1185,2602,2676,0.5142198308993082,1.0284396617986165,0.2040737893927748
MIA,3PT,369,1048,0.3520992366412214,1.0562977099236641,1107,1183,2760,2735,0.4954710144927536,0.9909420289855072,0.37971014492753624
MIA,LMR,63,205,0.3073170731707317,0.6146341463414634,126,1183,2760,2735,0.4954710144927536,0.9909420289855072,0.07427536231884058
MIA,RIM,569,980,0.5806122448979592,1.1612244897959185,1138,1183,2760,2735,0.4954710144927536,0.9909420289855072,0.35507246376811596
MIA,SMR,182,527,0.34535104364326374,0.6907020872865275,364,1183,2760,2735,0.4954710144927536,0.9909420289855072,0.19094202898550725
MIL,3PT,427,1219,0.3502871205906481,1.0508613617719442,1281,1331,2795,3089,0.5525939177101967,1.1051878354203934,0.43613595706618963
MIL,LMR,52,175,0.29714285714285715,0.5942857142857143,104,1331,2795,3089,0.5525939177101967,1.1051878354203934,0.0626118067978533
MIL,RIM,760,1134,0.6701940035273368,1.3403880070546736,1520,1331,2795,3089,0.5525939177101967,1.1051878354203934,0.40572450805008947
MIL,SMR,92,267,0.3445692883895131,0.6891385767790262,184,1331,2795,3089,0.5525939177101967,1.1051878354203934,0.09552772808586762
MIN,3PT,325,905,0.35911602209944754,1.0773480662983426,975,1294,2881,2913,0.5055536272127733,1.0111072544255466,0.3141270392224922
MIN,LMR,158,453,0.3487858719646799,0.6975717439293598,316,1294,2881,2913,0.5055536272127733,1.0111072544255466,0.15723707046164526
MIN,RIM,573,952,0.601890756302521,1.203781512605042,1146,1294,2881,2913,0.5055536272127733,1.0111072544255466,0.3304408191600139
MIN,SMR,238,571,0.4168126094570928,0.8336252189141856,476,1294,2881,2913,0.5055536272127733,1.0111072544255466,0.19819507115584867
NOP,3PT,334,952,0.35084033613445376,1.0525210084033614,1002,1426,2994,3186,0.5320641282565131,1.0641282565130261,0.3179692718770875
NOP,LMR,123,316,0.38924050632911394,0.7784810126582279,246,1426,2994,3186,0.5320641282565131,1.0641282565130261,0.10554442217768871
NOP,RIM,741,1174,0.631175468483816,1.262350936967632,1482,1426,2994,3186,0.5320641282565131,1.0641282565130261,0.3921175684702739
NOP,SMR,228,552,0.41304347826086957,0.8260869565217391,456,1426,2994,3186,0.5320641282565131,1.0641282565130261,0.1843687374749499
NYK,3PT,334,968,0.3450413223140496,1.0351239669421488,1002,1313,2992,2961,0.49481951871657753,0.9896390374331551,0.3235294117647059
NYK,LMR,215,501,0.4291417165668663,0.8602794411177644,431,1313,2992,2961,0.49481951871657753,0.9896390374331551,0.16744652406417113
