SEASON,TEAM,FTM,FTA,PF,PFD,"%PTS
FT",PACE,PFD/POSS
2012-13,Miami Heat,17.4,23,18.7,20.4,16.9,91.27,22.3513
2012-13,Milwaukee Bucks,15.3,20.7,19,19.1,15.4,95.67,19.9645
2012-13,Minnesota Timberwolves,18.5,24.9,18.4,22.5,19.3,93.96,23.9464
2012-13,New Orleans Hornets,15.5,20,20.4,18.7,16.5,89.53,20.8869
2012-13,New York Knicks,16,21.1,20.1,19.2,16,90.69,21.1710
2012-13,Oklahoma City Thunder,22.2,26.8,20.2,20.7,21,94.6,21.8816
2012-13,Orlando Magic,12.5,16.6,19.4,16.5,13.3,92.82,17.7763
2012-13,Philadelphia 76ers,12.2,16.8,18.4,16.2,13.1,91.88,17.6317
2012-13,Phoenix Suns,14.7,19.7,20.6,18.4,15.4,94.49,19.4730
2012-13,Portland Trail Blazers,15.9,20.5,18.5,18.7,16.3,92.49,20.2184
2012-13,Sacramento Kings,17.5,22.8,20.9,20,17.5,94.66,21.1282
2012-13,San Antonio Spurs,16.6,21,17.4,19.1,16.2,95.34,20.0336
2012-13,Toronto Raptors,17.6,22.3,22.4,20.1,18.1,91.3,22.0153
2012-13,Utah Jazz,17.5,23,21.3,20.4,17.9,92.08,22.1546
2012-13,Washington Wizards,15.6,21.3,20.5,19.1,16.7,93.26,20.4804
2013-14,Atlanta Hawks,17,21.7,19.2,20,16.8,95.43,20.9578
2013-14,Boston Celtics,16.2,20.8,21.3,19.1,16.8,94.28,20.2588
2013-14,Brooklyn Nets,18.4,24.4,21.7,20.8,18.7,92.44,22.5011
2013-14,Charlotte Bobcats,18,24.4,18.2,20.9,18.6,92.96,22.4828
2013-14,Chicago Bulls,18.1,23.3,19.1,20.9,19.3,90.88,22.9974
2013-14,Cleveland Cavaliers,17,22.7,20,19.5,17.4,93.72,20.8067
2013-14,Dallas Mavericks,16.8,21.1,20,19.9,16,94.97,20.9540
2013-14,Denver Nuggets,19.1,26.3,23,21.7,18.3,98.96,21.9281
2013-14,Detroit Pistons,17.3,25.7,20.3,20.7,17.1,95.58,21.6573
2013-14,Golden State Warriors,15.9,21.1,21.8,19.3,15.2,97.39,19.8172
2013-14,Houston Rockets,22.1,31.1,20.4,24.3,20.5,97.3,24.9743
2013-14,Indiana Pacers,18.1,23.3,20.4,21.9,18.7,92.89,23.5763
2013-14,Los Angeles Clippers,21.2,29.1,21.5,23.4,19.7,96.68,24.2036
2013-14,Los Angeles Lakers,17,22.4,19.8,19.3,16.5,99.72,19.3542
2013-14,Memphis Grizzlies,15.1,20.3,19.1,18.9,15.7,90.6,20.8609
2013-14,Miami Heat,17.5,23,19.5,20.4,17.1,91.92,22.1932
2013-14,Milwaukee Bucks,16.8,22.5,20.9,20.6,17.6,92.99,22.1529
2013-14,Minnesota Timberwolves,21.8,28.1,18.3,23.6,20.4,98.35,23.9959
2013-14,New Orleans Pelicans,18.2,23.6,22.6,20.3,18.2,93.09,21.8069
2013-14,New York Knicks,15.5,20.4,22.1,19.6,15.7,91.25,21.4795
2013-14,Oklahoma City Thunder,20.2,25,22.7,20.4,19,96.34,21.1750
2013-14,Orlando Magic,15.9,20.9,20.5,18.3,16.5,94.32,19.4020
2013-14,Philadelphia 76ers,16.6,23.4,22.5,20.6,16.7,99.78,20.6454
2013-14,Phoenix Suns,18.5,24.4,21.9,21.3,17.6,96.83,21.9973
2013-14,Portland Trail Blazers,19.1,23.5,19.2,20.7,17.9,95.92,21.5805
2013-14,Sacramento Kings,20.7,27.3,22.5,23.1,20.6,95.05,24.3030
2013-14,San Antonio Spurs,15.7,20,18.2,19.3,14.9,95.88,20.1293
2013-14,Toronto Raptors,19.6,25.1,23,22.1,19.4,92.52,23.8867
2013-14,Utah Jazz,16.4,22,20.7,20.4,17.3,92.34,22.0923
2013-14,Washington Wizards,15.3,20.9,20.4,19.5,15.2,94.23,20.6940
2014-15,Atlanta Hawks,16.5,21.2,17.8,19.6,16,94.66,20.7057
2014-15,Boston Celtics,15.4,20.5,21.2,18.8,15.2,96.74,19.4335
2014-15,Brooklyn Nets,16.6,22.2,19.3,20,16.9,93.72,21.3402
2014-15,Charlotte Hornets,17,22.8,18.2,20.8,18.1,93.47,22.2531
