PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,"SECONDARY
AST","POTENTIAL
AST","AST
ADJ","AST TO
PASS%","AST TO
PASS% ADJ",Good Passes
JaMychal Green,MEM,55,11,44,1542,1865,1302,79,9,151,91,4.2,4.9,239
JaVale McGee,GSW,65,45,20,615,613,486,33,3,50,38,5.4,6.2,86
Jabari Bird,BOS,13,8,5,115,68,75,8,3,10,12,11.8,17.6,21
Jabari Parker,MIL,31,16,15,743,975,856,59,6,121,62,6.1,6.4,186
Jack Cooley,SAC,7,4,3,87,90,81,6,0,8,6,6.7,6.7,14
Jacob Pullen,PHI,3,2,1,6,6,9,0,0,2,0,0,0,2
Jacob Wiley,BKN,4,1,3,32,40,18,2,0,2,2,5,5,4
Jae Crowder,UTA,80,52,28,2090,2230,1863,99,11,155,112,4.4,5,265
Jahlil Okafor,BKN,28,7,21,353,382,383,12,1,27,13,3.1,3.4,40
Jake Layman,POR,35,22,13,160,127,136,11,1,14,12,8.7,9.4,26
Jakob Poeltl,TOR,82,59,23,1524,1681,1104,57,10,111,69,3.4,4.1,178
Jalen Jones,DAL,16,3,13,181,152,132,4,2,14,7,2.6,4.6,20
Jamal Crawford,MIN,80,45,35,1653,1412,2110,185,20,317,224,13.1,15.9,522
Jamal Murray,DEN,81,46,35,2565,4288,4987,274,64,557,344,6.4,8,895
Jameel Warney,DAL,3,1,2,27,21,22,0,0,1,0,0,0,1
Jameer Nelson,DET,50,25,25,1013,2064,2090,179,28,336,208,8.7,10.1,543
Jamel Artis,ORL,15,4,11,279,265,258,18,4,46,22,6.8,8.3,68
James Ennis III,DET,72,25,47,1604,1027,1009,71,14,143,90,6.9,8.8,228
James Harden,HOU,72,59,13,2551,3687,5271,630,56,1177,728,17.1,19.7,1863
James Johnson,MIA,72,36,36,1912,2925,2477,277,14,550,300,9.5,10.3,841
James Michael McAdoo,PHI,3,1,2,18,20,18,0,0,0,0,0,0,0
James Webb III,BKN,10,1,9,120,188,105,4,1,6,5,2.1,2.7,11
James Young,PHI,6,4,2,61,35,44,2,0,4,3,5.7,8.6,6
Jamil Wilson,LAC,15,6,9,274,310,240,10,0,24,10,3.2,3.2,34
Jared Dudley,PHX,48,7,41,687,1184,786,78,4,146,85,6.6,7.2,228
Jarell Eddie,CHI,3,1,2,9,6,6,0,0,3,0,0,0,3
Jarell Martin,MEM,73,21,52,1661,1941,1358,73,7,145,87,3.8,4.5,225
Jarrett Allen,BKN,70,24,46,1401,1700,1318,49,9,95,56,2.9,3.3,153
Jarrett Jack,NYK,61,25,36,1513,3111,3527,341,38,620,387,11,12.4,999
Jason Smith,WAS,33,15,18,285,377,275,14,3,34,16,3.7,4.2,51
Jason Terry,MIL,51,27,24,814,760,677,59,3,104,65,7.8,8.6,166
Jawun Evans,LAC,48,24,24,778,1182,1322,100,14,186,120,8.5,10.2,300
Jaylen Brown,BOS,67,44,23,2050,1556,1725,112,12,211,129,7.2,8.3,335
Jaylen Morris,ATL,6,2,4,98,66,65,7,0,13,6,10.6,9.1,20
Jayson Tatum,BOS,77,50,27,2362,2139,2153,123,19,235,143,5.8,6.7,377
Jeff Green,CLE,78,47,31,1828,1721,1750,99,12,176,112,5.8,6.5,287
Jeff Teague,MIN,70,41,29,2311,4021,4655,492,36,847,563,12.2,14,1375
Jeff Withey,DAL,10,2,8,39,37,37,0,0,3,0,0,0,3
Jerami Grant,OKC,80,48,32,1625,1797,1290,56,5,144,69,3.1,3.8,205
Jeremy Evans,ATL,1,0,1,5,6,5,0,0,1,0,0,0,1
Jeremy Lamb,CHA,80,36,44,1967,1780,2161,186,32,363,235,10.4,13.2,581
