PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,"SECONDARY
AST","POTENTIAL
AST","AST
ADJ","AST TO
PASS%","AST TO
PASS% ADJ",Good Passes
Damion Lee,ATL,15,4,11,404,425,427,29,5,72,36,6.8,8.5,106
Damyean Dotson,NYK,44,11,33,474,418,453,31,4,62,38,7.4,9.1,97
Daniel Hamilton,OKC,6,5,1,28,49,55,8,0,13,8,16.3,16.3,21
Daniel Theis,BOS,60,41,19,894,1083,848,55,1,98,59,5.1,5.4,154
Danilo Gallinari,LAC,21,11,10,671,723,709,41,8,75,51,5.7,7.1,124
Danny Green,SAS,70,40,30,1791,1985,1833,110,22,199,140,5.5,7.1,331
Dante Cunningham,BKN,73,34,39,1562,1596,1060,48,8,96,56,3,3.5,152
Dante Exum,UTA,14,10,4,235,349,427,43,3,66,46,12.3,13.2,112
Danuel House,PHX,23,6,17,403,327,330,25,2,50,27,7.6,8.3,77
Dario Saric,PHI,77,49,28,2277,3443,2888,199,19,365,227,5.8,6.6,583
Darius Miller,NOP,82,48,34,1944,1297,1425,111,10,203,121,8.6,9.3,324
Darrell Arthur,DEN,19,12,7,141,160,142,9,1,16,11,5.6,6.9,26
Darren Collison,IND,69,39,30,2018,3421,3938,368,34,700,414,10.8,12.1,1102
Darrun Hilliard,SAS,14,8,6,95,107,105,11,0,16,11,10.3,10.3,27
David Nwaba,CHI,70,26,44,1646,990,1121,104,11,201,122,10.5,12.3,316
David Stockton,UTA,3,3,0,9,13,21,0,0,2,0,0,0,2
David West,GSW,73,52,21,999,1403,1383,138,12,251,163,9.8,11.6,401
Davis Bertans,SAS,77,43,34,1086,1411,1078,74,7,109,82,5.2,5.8,190
Davon Reed,PHX,21,2,19,242,232,218,13,2,37,18,5.6,7.8,52
De'Aaron Fox,SAC,73,24,49,2026,3714,4450,320,39,626,365,8.6,9.8,985
DeAndre Jordan,LAC,77,39,38,2423,3351,1745,117,13,201,136,3.5,4.1,331
DeAndre Liggins,NOP,57,34,23,708,547,538,47,6,101,52,8.6,9.5,154
DeAndre' Bembry,ATL,25,8,17,454,544,581,49,3,104,52,9,9.6,156
DeMar DeRozan,TOR,80,57,23,2712,3006,4390,417,62,828,484,13.9,16.1,1307
DeMarcus Cousins,NOP,48,27,21,1737,2876,2913,257,21,446,285,8.9,9.9,724
DeMarre Carroll,BKN,71,24,47,2122,2589,2297,145,26,298,172,5.6,6.6,469
Dejounte Murray,SAS,81,47,34,1743,3306,3355,231,56,464,289,7,8.7,751
Delon Wright,TOR,69,49,20,1433,2246,2382,200,31,410,235,8.9,10.5,641
Demetrius Jackson,PHI,15,12,3,80,148,161,9,0,27,9,6.1,6.1,36
Dennis Schroder,ATL,66,21,45,2041,4138,5264,408,46,820,470,9.9,11.4,1274
Dennis Smith Jr.,DAL,69,22,47,2049,3954,4644,358,59,741,425,9.1,10.7,1158
Denzel Valentine,CHI,77,26,51,2095,2151,2361,244,19,501,276,11.3,12.8,764
Derrick Favors,UTA,77,46,31,2153,3024,2327,102,12,189,120,3.4,4,303
Derrick Jones Jr.,MIA,20,9,11,245,143,129,9,1,18,11,6.3,7.7,28
Derrick Rose,MIN,25,15,10,419,464,616,37,9,58,47,8,10.1,104
Derrick Walton Jr.,MIA,16,8,8,147,225,201,16,1,40,17,7.1,7.6,57
Derrick White,SAS,17,7,10,139,180,179,9,0,16,9,5,5,25
Derrick Williams,LAL,2,1,1,9,9,9,0,0,2,0,0,0,2
Devin Booker,PHX,54,16,38,1865,2096,3151,253,28,516,296,12.1,14.1,797
Devin Harris,DEN,71,33,38,1340,1713,1967,152,11,269,163,8.9,9.5,432
Devin Robinson,WAS,1,0,1,13,17,10,0,0,3,0,0,0,3
Dewayne Dedmon,ATL,61,18,43,1520,1937,1453,88,6,143,93,4.5,4.8,237
Deyonta Davis,MEM,62,16,46,943,1043,713,40,1,78,45,3.8,4.3,119
Dillon Brooks,MEM,82,22,60,2350,2150,2457,135,33,301,169,6.3,7.9,469
Dion Waiters,MIA,29,15,14,893,1049,1415,112,14,219,130,10.7,12.4,345
Dirk Nowitzki,DAL,77,24,53,1900,2386,2140,120,13,183,143,5,6,316
Domantas Sabonis,IND,74,45,29,1810,3120,2353,151,17,291,172,4.8,5.5,459
Donovan Mitchell,UTA,79,46,33,2638,2941,4202,291,37,541,345,9.9,11.7,869
Dorian Finney-Smith,DAL,21,4,17,448,411,358,26,1,53,28,6.3,6.8,80
Doug McDermott,DAL,80,29,51,1736,1476,1493,78,12,145,94,5.3,6.4,235
Dragan Bender,PHX,82,21,61,2069,3017,1896,130,9,256,144,4.3,4.8,395
Draymond Green,GSW,70,48,22,2287,4463,3565,508,53,857,580,11.4,13,1418
Dwayne Bacon,CHA,53,25,28,713,494,502,38,11,78,51,7.7,10.3,127
Dwight Buycks,DET,29,10,19,427,705,929,59,12,118,73,8.4,10.4,189
Dwight Howard,CHA,81,35,46,2463,2490,2002,105,11,211,121,4.2,4.9,327
Dwight Powell,DAL,79,23,56,1672,2026,1450,91,14,187,107,4.5,5.3,292
Dwyane Wade,MIA,67,37,30,1536,2181,2456,228,23,462,264,10.5,12.1,713
E'Twaun Moore,NOP,82,48,34,2586,2151,2439,187,28,348,223,8.7,10.4,563
Ed Davis,POR,78,48,30,1471,1952,867,40,2,113,45,2,2.3,155
Edmond Sumner,IND,1,0,1,2,2,3,0,0,0,0,0,0,0
Ekpe Udoh,UTA,63,36,27,810,943,658,53,2,98,55,5.6,5.8,153
Elfrid Payton,PHX,63,13,50,1809,3061,3563,393,35,815,449,12.8,14.7,1243
Emeka Okafor,NOP,26,16,10,353,263,177,8,1,16,10,3,3.8,25
Emmanuel Mudiay,NYK,64,29,35,1244,2115,2588,206,20,378,232,9.7,11,604
Enes Kanter,NYK,70,26,44,1807,2643,1867,103,14,199,120,3.9,4.5,316
Eric Bledsoe,MIL,74,40,34,2322,3786,4384,370,53,694,445,9.8,11.8,1117
Eric Gordon,HOU,69,55,14,2154,1483,2281,154,14,281,176,10.4,11.9,449
Eric Moreland,DET,67,32,35,805,876,752,78,6,145,87,8.9,9.9,229
Erik McCree,UTA,4,4,0,8,7,7,0,0,2,0,0,0,2
Ersan Ilyasova,PHI,69,36,33,1730,2363,1838,90,16,166,106,3.8,4.5,272
Evan Fournier,ORL,57,20,37,1837,1328,1881,165,18,285,186,12.4,14,468
Evan Turner,POR,79,48,31,2034,2230,2179,173,13,374,191,7.8,8.6,560
Frank Kaminsky,CHA,79,35,44,1835,2827,2132,129,21,244,162,4.6,5.7,394
Frank Mason,SAC,52,17,35,984,1689,2049,147,24,306,171,8.7,10.1,477
Frank Ntilikina,NYK,77,27,50,1693,2931,3294,250,43,492,304,8.5,10.4,785
Fred VanVleet,TOR,76,55,21,1520,2244,2552,243,42,483,294,10.8,13.1,768
Furkan Korkmaz,PHI,14,11,3,80,56,67,4,3,6,7,7.1,12.5,13
Garrett Temple,SAC,65,23,42,1615,1812,1929,124,21,229,147,6.8,8.1,374
Gary Harris,DEN,67,37,30,2305,1646,2385,194,33,323,227,11.8,13.8,550
Gary Payton II,LAL,23,10,13,221,253,224,21,1,40,22,8.3,8.7,62
George Hill,CLE,67,28,39,1812,2852,3108,186,27,391,218,6.5,7.6,604
Georges Niang,UTA,9,9,0,32,28,32,3,0,2,2,10.7,7.1,5
Georgios Papagiannis,POR,17,3,14,122,185,114,9,1,13,10,4.9,5.4,23
Gerald Green,HOU,41,33,8,929,687,795,25,4,63,30,3.6,4.4,92
Gian Clavell,DAL,7,0,7,64,45,53,3,0,6,4,6.7,8.9,9
Giannis Antetokounmpo,MIL,74,39,35,2715,4246,4148,354,59,689,421,8.3,9.9,1102
Glenn Robinson III,IND,23,14,9,338,272,247,17,5,24,22,6.3,8.1,46
Goran Dragic,MIA,74,38,36,2349,4268,4933,356,64,744,436,8.3,10.2,1164
Gordon Hayward,BOS,1,0,1,5,7,5,0,0,0,0,0,0,0
Gorgui Dieng,MIN,79,45,34,1333,1704,1242,71,14,147,86,4.2,5,232
Greg Monroe,BOS,50,21,29,1024,1334,1222,113,7,205,122,8.5,9.1,325
Guerschon Yabusele,BOS,32,23,9,233,356,295,16,2,30,18,4.5,5.1,48
Harrison Barnes,DAL,77,24,53,2634,3013,2851,152,24,288,182,5,6,464
Hassan Whiteside,MIA,54,30,24,1364,1016,1083,54,2,106,56,5.3,5.5,162
Henry Ellenson,DET,38,21,17,329,553,355,20,1,39,22,3.6,4,60
Ian Clark,NOP,74,43,31,1454,1316,1560,110,16,195,127,8.4,9.7,321
Ian Mahinmi,WAS,77,42,35,1145,1213,775,53,12,94,69,4.4,5.7,159
Ike Anigbogu,IND,11,5,6,30,44,27,0,0,0,0,0,0,0
Iman Shumpert,SAC,14,9,5,276,316,286,17,5,27,24,5.4,7.6,49
Isaiah Canaan,PHX,20,9,11,422,828,935,76,8,164,90,9.2,10.9,248
Isaiah Hicks,NYK,18,4,14,239,241,207,16,1,30,18,6.6,7.5,47
Isaiah Taylor,ATL,67,18,49,1167,2035,2424,206,11,408,225,10.1,11.1,625
Isaiah Thomas,LAL,32,15,17,862,1185,1653,153,21,287,179,12.9,15.1,461
Isaiah Whitehead,BKN,15,2,13,163,186,263,19,1,40,20,10.2,10.8,60
Ish Smith,DET,82,39,43,2043,3995,4532,360,50,752,418,9,10.5,1162
Ivan Rabb,MEM,36,6,30,516,666,494,32,5,59,39,4.8,5.9,96
Ivica Zubac,LAL,43,19,24,410,559,379,25,2,35,27,4.5,4.8,62
J.J. Barea,DAL,69,23,46,1603,3345,3777,434,53,764,505,13,15.1,1251
JJ Redick,PHI,69,45,24,2086,1981,2657,207,36,355,245,10.4,12.4,598
JR Smith,CLE,80,49,31,2244,1780,1779,141,25,270,168,7.9,9.4,436
JaKarr Sampson,SAC,22,6,16,344,332,213,9,0,28,9,2.7,2.7,37
