Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
201,2017-18,29,SAS,NBA,Patty Mills,82,36,2107,4.8,11.7,2.2,4.6,2.6,7.1,1.8,2,0.4,2.2,2.6,3.9,0.9,0.2,1.8,2.2,14,0.411,0.47,0.372,0.523,0.89,0.558
202,2017-18,24,TOR,NBA,Malcolm Miller,15,4,126,3.7,8,1.4,2,2.3,6,1.1,1.1,1.1,3.1,4.3,0.9,0.3,0.6,1.4,2.9,10.9,0.464,0.714,0.381,0.607,1,0.638
203,2017-18,27,NOP,NBA,Darius Miller,82,3,1944,4,9,1.3,2.4,2.7,6.6,1.1,1.2,0.3,2.7,3,2.1,0.5,0.3,1.1,3,11.8,0.444,0.535,0.411,0.594,0.866,0.617
204,2017-18,30,TOR,NBA,C.J. Miles,70,3,1337,6.1,16.1,1.7,3.9,4.4,12.2,2.2,2.6,0.5,3.6,4.1,1.5,1,0.6,1.1,3.6,18.8,0.379,0.434,0.361,0.516,0.835,0.545
205,2017-18,26,MIL,NBA,Khris Middleton,82,82,2982,7.2,15.4,5.4,10.4,1.8,4.9,3.9,4.4,0.5,4.6,5.2,4,1.4,0.3,2.3,3.3,19.9,0.466,0.517,0.359,0.524,0.884,0.577
206,2017-18,23,MIA,NBA,Jordan Mickey,23,3,284,4.9,10.4,4.7,8.4,0.3,2,1.6,2.4,2.3,8.1,10.4,1.1,0.8,1.3,2.3,4.6,11.8,0.476,0.561,0.125,0.488,0.684,0.515
207,2017-18,31,DAL,NBA,Salah Mejri,61,1,729,4.3,6.8,4.3,6.6,0,0.1,1.9,3.3,4.2,8,12.1,1.7,1.1,3.3,1.9,6,10.6,0.642,0.657,0,0.642,0.576,0.644
208,2017-18,30,WAS,NBA,Jodie Meeks,77,0,1119,5.1,12.6,2.7,5.9,2.3,6.8,3.2,3.8,0.5,3.6,4.1,2.3,0.9,0.1,1.2,1.8,15.7,0.399,0.464,0.343,0.491,0.863,0.548
209,2017-18,30,DAL,NBA,Josh McRoberts,2,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,,0,0,,0
210,2017-18,24,MEM,NBA,Ben McLemore,56,17,1091,5.2,12.3,3.4,7.1,1.8,5.2,1.7,2.1,1.1,3.5,4.6,1.7,1.3,0.5,2,4.6,13.9,0.421,0.477,0.346,0.495,0.828,0.526
211,2017-18,25,TOR,NBA,Alfonzo McKinnie,14,0,53,5.4,10.2,3.4,4.1,2,6.1,1.4,2,0.7,4.1,4.8,0.7,0.7,0.7,2,5.4,14.3,0.533,0.833,0.333,0.633,0.667,0.643
212,2017-18,27,IND,NBA,Trey McKinney-Jones,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
