Player,POS.,AGE,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY,2018 CAP HIT,Season,Cap,PercCap
Paul George,SF,28,UFA,OKC,OKC,4,"$136,911,936","$34,227,984","$30,560,700",2017-18,101900000,0.336
Aaron Gordon,PF,22,RFA,ORL,ORL,4,"$84,000,000","$21,000,000","$18,750,000",2017-18,101900000,0.206
Kevin Durant,SF,29,UFA,GSW,GSW,2,"$61,500,000","$30,750,000","$30,000,000",2017-18,101900000,0.302
Will Barton,SG,27,UFA,DEN,DEN,4,"$54,000,000","$13,500,000","$12,053,571",2017-18,101900000,0.132
Derrick Favors,PF,26,UFA,UTH,UTH,2,"$36,000,000","$18,000,000","$16,000,000",2017-18,101900000,0.177
Dante Exum,PG,22,RFA,UTH,UTH,3,"$33,000,000","$11,000,000","$11,000,000",2017-18,101900000,0.108
Jerami Grant,SF,24,UFA,OKC,OKC,3,"$27,000,000","$9,000,000","$8,333,333",2017-18,101900000,0.088
Avery Bradley,SG,27,UFA,LAC,LAC,2,"$25,000,000","$12,500,000","$12,500,000",2017-18,101900000,0.123
DeAndre Jordan,C,30,UFA,LAC,DAL,1,"$24,100,000","$24,100,000","$24,100,000",2017-18,101900000,0.237
Doug McDermott,SF,26,UFA,DAL,IND,3,"$22,000,000","$7,333,333","$6,984,127",2017-18,101900000,0.072
Ersan Ilyasova,PF,31,UFA,PHI,MIL,3,"$21,000,000","$7,000,000","$6,666,667",2017-18,101900000,0.069
Fred VanVleet,PG,24,RFA,TOR,TOR,2,"$18,117,900","$9,058,950","$8,838,000",2017-18,101900000,0.089
Joe Harris,SG,26,UFA,BKN,BKN,2,"$16,000,000","$8,000,000","$7,692,308",2017-18,101900000,0.079
Trevor Ariza,SF,33,UFA,HOU,PHX,1,"$15,000,000","$15,000,000","$15,000,000",2017-18,101900000,0.147
J.J. Redick,SG,34,UFA,PHI,PHI,1,"$13,000,000","$13,000,000","$13,000,000",2017-18,101900000,0.128
Tyreke Evans,SG,28,UFA,MEM,IND,1,"$12,000,000","$12,000,000","$12,000,000",2017-18,101900000,0.118
Kentavious Caldwell-Pope,SG,25,UFA,LAL,LAL,1,"$12,000,000","$12,000,000","$12,000,000",2017-18,101900000,0.118
Marco Belinelli,SG,32,UFA,PHI,SAS,2,"$12,000,000","$6,000,000","$6,000,000",2017-18,101900000,0.059
Aron Baynes,C,31,UFA,BOS,BOS,2,"$11,000,000","$5,500,000","$5,365,854",2017-18,101900000,0.054
Rudy Gay,SF,31,UFA,SAS,SAS,1,"$10,087,200","$10,087,200","$10,087,200",2017-18,101900000,0.099
Rajon Rondo,PG,32,UFA,NOP,LAL,1,"$9,000,000","$9,000,000","$9,000,000",2017-18,101900000,0.088
Glen Robinson III,SG,24,UFA,IND,DET,2,"$8,300,000","$4,150,000","$4,048,780",2017-18,101900000,0.041
Mario Hezonja,SG,23,UFA,ORL,NYK,1,"$6,500,000","$6,500,000","$6,500,000",2017-18,101900000,0.064
Anthony Tolliver,PF,33,UFA,DET,MIN,1,"$5,750,000","$5,750,000","$5,750,000",2017-18,101900000,0.056
Seth Curry,SG,27,UFA,DAL,POR,2,"$5,600,000","$2,800,000","$2,750,000",2017-18,101900000,0.027
Dwight Howard,C,32,UFA,BKN,WAS,1,"$5,337,000","$5,337,000","$5,337,000",2017-18,101900000,0.052
DeMarcus Cousins,C,27,UFA,NOP,GSW,1,"$5,337,000","$5,337,000","$5,337,000",2017-18,101900000,0.052
Nemanja Bjelica,PF,30,UFA,MIN,PHI,1,"$4,449,000","$4,449,000","$4,449,000",2017-18,101900000,0.044
Lance Stephenson,SG,27,UFA,IND,LAL,1,"$4,449,000","$4,449,000","$4,449,000",2017-18,101900000,0.044
Raul Neto,PG,26,RFA,UTH,UTH,2,"$4,400,000","$2,200,000","$2,750,000",2017-18,101900000,0.022
Ed Davis,PF,29,UFA,POR,BKN,1,"$4,400,000","$4,400,000","$4,400,000",2017-18,101900000,0.043
Nerlens Noel,C,24,UFA,DAL,OKC,2,"$3,466,716","$1,733,358","$1,621,415",2017-18,101900000,0.017
Derrick Jones Jr.,SF,21,RFA,MIA,MIA,2,"$3,157,958","$1,578,979","$1,512,601",2017-18,101900000,0.015
Elfrid Payton,PG,24,UFA,PHX,NOP,1,"$2,700,000","$2,700,000","$2,700,000",2017-18,101900000,0.026
Amir Johnson,PF,31,UFA,PHI,PHI,1,"$2,393,887","$2,393,887","$1,512,601",2017-18,101900000,0.023
Jeff Green,SF,31,UFA,CLE,WAS,1,"$2,393,887","$2,393,887","$1,512,601",2017-18,101900000,0.023
Raymond Felton,PG,34,UFA,OKC,OKC,1,"$2,393,887","$2,393,887","$1,512,601",2017-18,101900000,0.023
Jose Calderon,PG,36,UFA,CLE,DET,1,"$2,393,887","$2,393,887","$1,512,601",2017-18,101900000,0.023
Gerald Green,SG,32,UFA,HOU,HOU,1,"$2,393,887","$2,393,887","$1,512,601",2017-18,101900000,0.023
JaVale McGee,C,30,UFA,GSW,LAL,1,"$2,393,887","$2,393,887","$1,512,601",2017-18,101900000,0.023
Derrick Rose,PG,29,UFA,MIN,MIN,1,"$2,176,260","$2,176,260","$1,618,486",2017-18,101900000,0.021
Omri Casspi,SF,30,UFA,GSW,MEM,1,"$2,165,481","$2,165,481","$1,512,601",2017-18,101900000,0.021
Mike Scott,PF,30,UFA,WAS,LAC,1,"$1,893,447","$1,893,447","$1,512,601",2017-18,101900000,0.019
