Player,POS.,AGE,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY,2018 CAP HIT,Season,Cap,PercCap
Stephen Curry,PG,30,UFA,GSW,GSW,5,"$201,158,790","$40,231,758",-,2016-17,99093000,0.406
Stephen Zimmerman,C,21,UFA,ORL,LAL,1,"$1,312,611","$1,312,611","$1,312,611",2016-17,99093000,0.013
Taj Gibson,PF,33,UFA,OKC,MIN,2,"$28,000,000","$14,000,000",-,2016-17,99093000,0.141
Tarik Black,PF,26,UFA,LAL,HOU,1,"$3,290,000","$3,290,000","$3,290,000",2016-17,99093000,0.033
Thabo Sefolosha,SF,34,UFA,ATL,UTH,2,"$10,500,000","$5,250,000",-,2016-17,99093000,0.053
Tim Hardaway Jr.,SG,26,RFA,ATL,NYK,4,"$70,950,000","$17,737,500",-,2016-17,99093000,0.179
Tony Allen,SG,36,UFA,MEM,NOP,1,"$2,328,652","$2,328,652",-,2016-17,99093000,0.023
Tony Snell,SG,26,RFA,MIL,MIL,4,"$46,000,000","$11,500,000","$9,821,429",2016-17,99093000,0.116
Troy Williams,SF,23,RFA,HOU,HOU,3,"$4,693,068","$1,564,356","$1,312,611",2016-17,99093000,0.016
Tyler Ennis,PG,23,UFA,LAL,LAL,2,"$3,180,397","$1,590,199","$1,524,305",2016-17,99093000,0.016
Tyler Zeller,C,28,UFA,BOS,BKN,2,"$3,643,479","$1,821,740","$1,709,538",2016-17,99093000,0.018
Tyreke Evans,SG,28,UFA,SAC,MEM,1,"$3,290,000","$3,290,000",-,2016-17,99093000,0.033
Udonis Haslem,PF,38,UFA,MIA,MIA,1,"$2,328,652","$2,328,652","$1,471,382",2016-17,99093000,0.023
Vander Blue,SG,25,UFA,,LAL,1,"$1,471,382","$1,471,382","$1,471,382",2016-17,99093000,0.015
Vince Carter,SG,41,UFA,MEM,SAC,1,"$8,000,000","$8,000,000",-,2016-17,99093000,0.081
Wayne Selden,SG,23,UFA,MEM,MEM,2,"$2,857,562","$1,428,781","$543,471",2016-17,99093000,0.014
Willie Reed,C,28,UFA,MIA,LAC,1,"$1,577,230","$1,577,230","$1,471,382",2016-17,99093000,0.016
Zach Randolph,PF,36,UFA,MEM,SAC,2,"$24,000,000","$12,000,000",-,2016-17,99093000,0.121
Zaza Pachulia,C,34,UFA,GSW,GSW,1,"$3,477,600","$3,477,600","$2,898,000",2016-17,99093000,0.035
