Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
19,2017-18,24,MIA,NBA,Matt Williams,3,0,11,6.5,19.6,3.3,3.3,3.3,16.4,0,0,0,3.3,3.3,0,0,0,3.3,3.3,16.4,0.333,1,0.2,0.417,,0.417
20,2017-18,31,CHO,NBA,Marvin Williams,78,78,2006,4.6,10.1,2.4,4.6,2.3,5.5,1.8,2.2,1.3,5.3,6.6,1.7,1,0.7,1.2,2.1,13.4,0.458,0.512,0.413,0.57,0.829,0.603
Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
21,2017-18,31,LAC,NBA,Lou Williams,79,19,2589,8.1,18.6,5.5,11.4,2.6,7.2,6,6.8,0.6,2.2,2.8,5.8,1.2,0.3,3.3,1.5,24.8,0.435,0.484,0.359,0.505,0.88,0.574
22,2017-18,26,LAL,NBA,Derrick Williams,2,0,9,4,16,4,8,0,8,0,0,0,4,4,0,0,0,0,0,8,0.25,0.5,0,0.25,,0.25
23,2017-18,27,LAC,NBA,C.J. Williams,38,17,707,4.4,10,3.3,6.1,1.1,4,0.7,0.8,0.6,2.2,2.9,2.2,1.6,0.7,1,3.2,10.6,0.442,0.546,0.282,0.497,0.813,0.512
24,2017-18,25,PHO,NBA,Alan Williams,5,0,70,3.6,9.3,3.6,9.3,0,0,3.1,4.6,1.5,9.8,11.3,4.1,2.6,0.5,3.6,6.7,10.3,0.389,0.389,,0.389,0.667,0.455
25,2017-18,38,IND,NBA,Damien Wilkins,19,1,152,3.1,9.2,2.1,5,0.9,4.3,0.7,0.9,1.2,2.6,3.8,2.1,0.5,0.2,1.2,1.7,7.8,0.333,0.429,0.222,0.385,0.75,0.405
26,2017-18,23,BRK,NBA,Jacob Wiley,5,0,33,1.1,4.4,0,2.2,1.1,2.2,1.1,2.2,2.2,9.8,12,2.2,1.1,0,0,4.4,4.4,0.25,0,0.5,0.375,0.5,0.41
27,2017-18,22,MIN,NBA,Andrew Wiggins,82,82,2979,6.9,15.7,5.5,11.6,1.4,4.1,2.4,3.8,1,3.3,4.3,1.9,1.1,0.6,1.7,2,17.5,0.438,0.475,0.331,0.481,0.643,0.505
28,2017-18,28,MIA,NBA,Hassan Whiteside,54,54,1364,8.2,15.3,8.2,15.2,0.1,0.1,3.4,4.8,4.6,11.7,16.3,1.4,1,2.5,2.4,3.5,19.9,0.54,0.538,1,0.542,0.703,0.573
29,2017-18,22,BRK,NBA,Isaiah Whitehead,16,0,180,8,17.2,6.6,13.6,1.4,3.6,2.6,3.8,0.8,4.4,5.2,4,1.6,0.4,4.8,4.6,20,0.465,0.485,0.389,0.506,0.684,0.53
30,2017-18,25,MIA,NBA,Okaro White,6,4,80,3.2,7.2,1.4,2.3,1.8,5,0.9,1.4,1.4,3.6,5,0.9,0.5,0.5,0.5,2.7,9,0.438,0.6,0.364,0.563,0.667,0.577
31,2017-18,23,SAS,NBA,Derrick White,17,0,139,4.1,8.5,2.1,5.2,2.1,3.4,3.6,5.2,1.3,5.4,6.7,2.3,1,0.8,1.6,2.1,14,0.485,0.4,0.615,0.606,0.7,0.646
32,2017-18,24,ATL,NBA,Andrew White,15,0,209,4.3,12.6,1.2,4.1,3.1,8.4,0.2,0.7,0.7,5.2,5.9,1,0.5,0.2,1.4,2.1,11.9,0.342,0.292,0.367,0.466,0.25,0.461
33,2017-18,29,OKC,NBA,Russell Westbrook,80,80,2914,9.4,20.8,8.2,16.8,1.2,4,5.2,7,1.9,8.1,9.9,10.1,1.8,0.2,4.7,2.5,25.1,0.449,0.485,0.298,0.477,0.737,0.524
34,2017-18,37,GSW,NBA,David West,73,0,999,7.8,13.6,7.7,13.3,0.1,0.3,2.2,2.8,2.3,6.3,8.6,5,1.7,2.7,2.9,4.3,17.8,0.571,0.576,0.375,0.575,0.759,0.6
35,2017-18,25,TOT,NBA,Briante Weber,18,0,237,2.9,6.5,2.3,4.9,0.6,1.7,1.2,1.5,1.2,4.1,5.3,3.3,2.7,0.8,2.3,4.3,7.6,0.442,0.469,0.364,0.488,0.8,0.527
36,2017-18,24,BRK,NBA,James Webb,10,0,120,1.8,7.2,0.6,1.5,1.2,5.7,0,0,2.4,4.8,7.2,1.2,0.3,0,1.2,3,4.8,0.25,0.4,0.211,0.333,,0.333
37,2017-18,27,LAL,NBA,Travis Wear,17,0,228,3.9,11.4,1.3,3.9,2.7,7.4,1.3,1.3,0,6,6,1.1,0.6,0.8,0.9,4.7,11.8,0.347,0.32,0.362,0.465,1,0.497
38,2017-18,24,PHO,NBA,T.J. Warren,65,65,2142,8.9,17.9,8.6,16.4,0.3,1.5,3.2,4.3,2.1,3.5,5.6,1.4,1.1,0.7,1.4,2.5,21.4,0.498,0.523,0.222,0.507,0.757,0.541
39,2017-18,24,DAL,NBA,Jameel Warney,3,0,27,9.3,16,9.3,16,0,0,4,6.7,5.3,6.7,12,0,0,0,1.3,2.7,22.7,0.583,0.583,,0.583,0.6,0.599
40,2017-18,22,MIA,NBA,Derrick Walton,16,0,147,2,6.1,0.2,2,1.7,4.2,1.5,1.5,0.5,3.4,3.9,3.9,1.7,0.7,0.5,1.7,7.1,0.32,0.125,0.412,0.46,1,0.525
Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
41,2017-18,23,ATL,NBA,Taurean Waller-Prince,82,82,2464,6.1,14.2,3.5,7.6,2.6,6.7,2.2,2.6,0.7,5,5.7,3.1,1.2,0.6,2.8,2.5,16.9,0.426,0.461,0.385,0.516,0.844,0.549
42,2017-18,23,LAC,NBA,Tyrone Wallace,30,19,851,4.7,10.4,4.2,8.8,0.4,1.7,2.6,3.3,0.9,3.6,4.4,3,1.1,0.5,1.9,3.5,12.3,0.445,0.483,0.25,0.466,0.782,0.517
43,2017-18,27,WAS,NBA,John Wall,41,41,1410,7.1,17,5.6,12.8,1.6,4.3,4.5,6.2,0.6,3.3,3.8,10,1.5,1.1,4,2,20.3,0.42,0.436,0.371,0.466,0.726,0.515
44,2017-18,27,CHO,NBA,Kemba Walker,80,80,2736,7.7,17.9,4.7,10,3,7.9,4.8,5.5,0.4,2.8,3.2,5.8,1.2,0.3,2.4,1.3,23.3,0.431,0.469,0.384,0.516,0.864,0.572
45,2017-18,26,MIA,NBA,Dion Waiters,30,30,918,6.4,16.1,4.4,9.4,2,6.7,2,2.7,0.3,2.7,3,4.4,0.9,0.4,2.7,2.4,16.8,0.398,0.463,0.306,0.461,0.739,0.487
46,2017-18,36,TOT,NBA,Dwyane Wade,67,3,1536,7,16,6.3,13.4,0.7,2.6,3.2,4.4,1.2,4.7,5.9,5.3,1.4,1.1,3.3,2.9,17.9,0.438,0.468,0.288,0.462,0.714,0.5
47,2017-18,27,ORL,NBA,Nikola Vucevic,57,57,1683,8.5,18,7.2,13.6,1.4,4.4,1.6,2,2.2,9,11.2,4.1,1.2,1.3,2.3,3.1,20.1,0.475,0.527,0.314,0.513,0.819,0.533
48,2017-18,22,TOT,NBA,Noah Vonleh,54,16,875,4.3,9.6,3.5,6.9,0.8,2.7,1.5,2.4,2.9,9.9,12.8,1.4,0.8,0.7,1.3,2.8,10.9,0.444,0.5,0.303,0.487,0.621,0.509
49,2017-18,21,TOT,NBA,Rashad Vaughn,28,0,212,3.9,9.5,1.5,3.2,2.4,6.3,0.7,1,0.5,3.1,3.6,2.2,0.8,0.5,1,2.5,10.9,0.411,0.474,0.378,0.536,0.667,0.546
50,2017-18,23,TOR,NBA,Fred VanVleet,76,0,1520,5.5,12.9,2.9,6.7,2.6,6.2,2,2.4,0.6,3.8,4.4,5.8,1.6,0.5,1.8,3.1,15.5,0.426,0.437,0.414,0.525,0.832,0.556
51,2017-18,24,CHI,NBA,Denzel Valentine,77,37,2095,5.2,12.4,2.7,6,2.5,6.4,0.7,0.9,0.8,5.9,6.8,4.2,1.1,0.2,1.7,3.2,13.5,0.417,0.45,0.386,0.517,0.745,0.527
52,2017-18,25,TOR,NBA,Jonas Valanciunas,77,77,1727,8.1,14.3,7.5,12.8,0.6,1.5,3.5,4.4,3.8,9.9,13.8,1.7,0.6,1.4,2.4,4,20.4,0.568,0.587,0.405,0.59,0.806,0.628
53,2017-18,22,PHO,NBA,Tyler Ulis,71,43,1658,4.6,12,3.7,8.8,0.9,3.2,1.8,2.2,0.5,2.3,2.8,6.8,1.5,0.2,2.8,2.6,12,0.388,0.425,0.288,0.426,0.832,0.465
54,2017-18,30,UTA,NBA,Ekpe Udoh,63,3,810,2.7,5.3,2.7,5.3,0,0,1.9,2.5,3,3.6,6.7,2.4,1.9,3.3,0.9,4.7,7.2,0.5,0.504,0,0.5,0.75,0.56
55,2017-18,21,IND,NBA,Myles Turner,65,62,1836,6,12.5,4.9,9.5,1.1,3.1,3.1,4,1.8,6.4,8.2,1.7,0.7,2.3,1.9,3.6,16.2,0.479,0.519,0.357,0.523,0.777,0.567
56,2017-18,29,POR,NBA,Evan Turner,79,40,2034,4.6,10.2,3.8,7.9,0.7,2.3,1.6,1.9,0.5,3.8,4.3,3.1,0.8,0.5,1.8,2.9,11.5,0.447,0.485,0.318,0.484,0.85,0.52
57,2017-18,32,HOU,NBA,P.J. Tucker,82,34,2281,2.7,7,0.9,2.1,1.8,4.9,0.7,0.9,1.5,5.7,7.2,1.2,1.2,0.4,1.2,3.2,7.9,0.39,0.435,0.371,0.52,0.717,0.537
58,2017-18,22,MIN,NBA,Karl-Anthony Towns,82,82,2918,7.9,14.5,6.4,10.9,1.5,3.5,4.3,5,2.9,9.5,12.5,2.5,0.8,1.4,2,3.5,21.5,0.545,0.585,0.421,0.596,0.858,0.646
59,2017-18,32,DET,NBA,Anthony Tolliver,79,14,1757,4.5,9.7,1.2,2.2,3.3,7.5,2.2,2.7,1,3.9,4.9,1.8,0.7,0.4,1.2,3,14.4,0.464,0.561,0.436,0.632,0.797,0.663
60,2017-18,23,LAC,NBA,Sindarius Thornwell,73,17,1156,3.1,7.3,2.4,5.4,0.7,1.9,1.8,2.7,1,3.3,4.4,2.1,1.5,0.8,1.7,3.9,8.8,0.429,0.448,0.377,0.479,0.67,0.519
Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
61,2017-18,26,CLE,NBA,Tristan Thompson,53,22,1072,4.4,7.9,4.4,7.9,0,0,1.4,2.7,4.2,7.6,11.8,1.1,0.5,0.6,1.2,3.4,10.3,0.562,0.562,,0.562,0.544,0.569
62,2017-18,27,GSW,NBA,Klay Thompson,73,73,2506,8.3,16.9,5,9.5,3.3,7.5,1.2,1.4,0.4,3.5,4,2.7,0.8,0.5,1.8,1.7,21,0.488,0.526,0.44,0.585,0.837,0.598
63,2017-18,29,NYK,NBA,Lance Thomas,73,31,1353,2.7,7.1,1.4,3.8,1.3,3.3,1.2,1.4,1.2,3.5,4.7,1.2,0.8,0.4,1.1,3.6,7.9,0.382,0.364,0.403,0.476,0.83,0.513
64,2017-18,28,TOT,NBA,Isaiah Thomas,32,15,862,6.6,17.6,4.3,9.7,2.3,7.9,4.9,5.5,0.7,2.1,2.8,6.4,0.6,0.1,4,2.4,20.3,0.373,0.438,0.293,0.438,0.893,0.508
65,2017-18,25,BOS,NBA,Daniel Theis,63,3,936,4.8,9,4.2,6.7,0.7,2.2,2.3,3.1,3.5,7.1,10.5,2.2,1.2,1.8,2.2,6,12.7,0.541,0.617,0.31,0.579,0.753,0.616
66,2017-18,40,MIL,NBA,Jason Terry,51,4,814,2.6,6.8,0.8,1.7,1.8,5.1,0.4,0.4,0.2,1.9,2.1,2.6,1.9,0.6,1.1,2.3,7.3,0.383,0.487,0.348,0.513,0.889,0.525
67,2017-18,30,LAC,NBA,Milos Teodosic,45,36,1134,4.8,11.4,2,4.1,2.8,7.4,1.2,1.5,0.5,3.5,4,6.6,0.7,0.2,3.1,3.3,13.6,0.419,0.492,0.379,0.542,0.848,0.564
68,2017-18,31,SAC,NBA,Garrett Temple,65,35,1615,4.4,10.6,2.5,5.6,2,5.1,1.3,1.7,0.5,2.9,3.4,2.8,1.3,0.6,1.8,3,12.2,0.418,0.442,0.392,0.512,0.769,0.536
69,2017-18,32,MIL,NBA,Mirza Teletovic,10,0,159,5.7,12.9,0.9,2.7,4.8,10.2,0,0,0.7,4.5,5.2,2.3,0.9,0.2,1.6,3.2,16.1,0.439,0.333,0.467,0.623,,0.623
70,2017-18,24,MEM,NBA,Marquis Teague,3,0,74,1.9,7.8,1.5,5.8,0.5,1.9,1,2.4,0.5,2.4,2.9,6.3,1.9,0,1.5,2.4,5.4,0.25,0.25,0.25,0.281,0.4,0.302
71,2017-18,29,MIN,NBA,Jeff Teague,70,70,2311,5.5,12.4,4.2,8.8,1.3,3.6,3.1,3.7,0.4,2.9,3.3,7.7,1.6,0.3,2.8,2.7,15.5,0.446,0.477,0.368,0.499,0.845,0.553
72,2017-18,23,ATL,NBA,Isaiah Taylor,67,9,1167,5,12,4.4,9.6,0.6,2.5,3.1,4.3,0.7,2.2,2.9,6.4,1,0.3,2.6,3.6,13.7,0.418,0.461,0.25,0.444,0.702,0.492
73,2017-18,19,BOS,NBA,Jayson Tatum,80,80,2438,5.9,12.3,4.3,8.8,1.6,3.6,3.1,3.8,0.7,5.2,5.9,1.9,1.2,0.9,1.7,2.5,16.4,0.475,0.492,0.434,0.538,0.826,0.586
74,2017-18,20,POR,NBA,Caleb Swanigan,27,3,189,4.6,11.4,4.4,9.9,0.2,1.5,2.3,3.4,2.9,7.4,10.3,2.7,1,0.6,3.4,7,11.6,0.4,0.442,0.125,0.408,0.667,0.449
75,2017-18,22,IND,NBA,Edmond Sumner,1,0,2,18,18,18,18,0,0,0,0,0,18,18,0,0,0,0,18,36,1,1,,1,,1
76,2017-18,29,CHO,NBA,Julyan Stone,23,0,175,1.2,2.7,0,0,1.2,2.7,0.2,0.4,0.2,5.8,6,5.3,0.8,0.4,1.4,4.3,3.9,0.462,,0.462,0.692,0.5,0.684
77,2017-18,26,UTA,NBA,David Stockton,3,0,9,8,12,0,0,8,12,16,16,0,0,0,0,0,0,4,12,40,0.667,,0.667,1,1,1.05
78,2017-18,27,IND,NBA,Lance Stephenson,82,7,1850,5.9,13.8,4.6,9.3,1.3,4.5,1.6,2.5,1.2,7,8.3,4.6,0.9,0.3,2.6,3.4,14.7,0.427,0.495,0.289,0.475,0.661,0.495
79,2017-18,24,TOT,NBA,Nik Stauskas,41,0,523,4.1,10.6,1.4,3.7,2.8,6.9,1.4,2,0.3,4.1,4.4,2.7,0.6,0.3,1.8,1.7,12.5,0.39,0.37,0.4,0.519,0.724,0.543
80,2017-18,30,ORL,NBA,Marreese Speights,52,3,675,7.4,18.6,2.8,6.2,4.6,12.4,2.1,2.9,1.1,6,7.1,2.1,0.4,1.2,2.1,5.7,21.4,0.395,0.448,0.369,0.519,0.727,0.539
Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
81,2017-18,26,MIL,NBA,Tony Snell,75,59,2053,3.2,7.5,1.4,2.8,1.9,4.7,0.7,0.8,0.2,2.3,2.5,1.7,0.8,0.5,0.6,2,9,0.435,0.49,0.403,0.562,0.792,0.578
82,2017-18,32,NOP,NBA,Josh Smith,3,0,12,3,12,3,12,0,0,0,0,9,3,12,0,0,0,0,9,6,0.25,0.25,,0.25,,0.25
83,2017-18,31,WAS,NBA,Jason Smith,33,2,285,5.7,14.5,5.2,10.5,0.5,4,2.4,2.7,2.3,4.4,6.7,1.8,0.4,1.6,2,5.6,14.3,0.391,0.494,0.125,0.409,0.905,0.455
84,2017-18,32,CLE,NBA,J.R. Smith,80,61,2244,3.9,9.5,1.6,3.4,2.3,6.1,0.6,0.9,0.5,3.3,3.8,2.3,1.1,0.2,1.3,2.6,10.6,0.403,0.453,0.375,0.524,0.696,0.534
85,2017-18,29,DET,NBA,Ish Smith,82,35,2043,6.9,14.1,6.2,12.3,0.6,1.8,1.4,2,0.5,3.5,3.9,6.3,1.1,0.4,1.9,2.5,15.8,0.486,0.506,0.347,0.507,0.698,0.525
86,2017-18,20,DAL,NBA,Dennis Smith,69,69,2049,7.1,18,5.2,12,1.9,6,2.4,3.4,0.9,3.7,4.6,6.3,1.2,0.3,3.4,2.7,18.4,0.395,0.436,0.313,0.447,0.694,0.473
87,2017-18,23,BOS,NBA,Marcus Smart,54,11,1614,4.2,11.5,2.5,5.9,1.7,5.6,2.2,3,1,3.3,4.2,5.8,1.6,0.5,2.9,3,12.3,0.367,0.429,0.301,0.44,0.729,0.479
88,2017-18,29,OKC,NBA,Kyle Singler,12,0,59,4.3,12.8,3.1,9.8,1.2,3.1,4.3,7.9,0.6,5.5,6.1,1.2,0.6,0,1.8,2.4,14,0.333,0.313,0.4,0.381,0.538,0.43
89,2017-18,20,MEM,NBA,Kobi Simmons,32,12,643,4.5,10.6,3.9,8.4,0.6,2.2,1.4,1.4,0.8,2,2.8,3.8,1,0.3,2.5,3.4,11,0.423,0.46,0.282,0.452,1,0.49
90,2017-18,28,ORL,NBA,Jonathon Simmons,69,50,2029,6.3,13.5,5.1,9.9,1.2,3.6,3.3,4.3,1.1,3.2,4.2,3,1,0.3,2.6,3.1,17.1,0.465,0.512,0.338,0.511,0.768,0.555
91,2017-18,21,PHI,NBA,Ben Simmons,81,81,2732,7.2,13.2,7.2,13,0,0.1,2.5,4.5,1.9,6.8,8.7,8.7,1.8,0.9,3.7,2.8,16.9,0.545,0.551,0,0.545,0.56,0.557
92,2017-18,30,BOS,NBA,Xavier Silas,2,0,7,0,15.4,0,5.1,0,10.3,0,0,5.1,5.1,10.3,0,5.1,0,0,5.1,0,0,0,0,0,,0
93,2017-18,23,TOR,NBA,Pascal Siakam,81,5,1679,5.4,10.7,4.8,7.8,0.6,2.8,1.2,1.9,1.7,6.1,7.8,3.4,1.3,0.9,1.4,3.6,12.6,0.508,0.612,0.22,0.537,0.621,0.549
94,2017-18,27,CLE,NBA,Iman Shumpert,14,6,276,2.9,7.6,2,4.2,0.9,3.4,1.4,2,0.9,4.4,5.3,2.2,1.2,0.5,2.1,2.9,8.1,0.379,0.469,0.269,0.44,0.733,0.48
95,2017-18,31,TOT,NBA,Ramon Sessions,28,3,392,3.9,10.7,3.1,8.4,0.7,2.4,4,5.2,0.6,2.9,3.5,7.1,1.3,0.2,2.8,2.7,12.5,0.359,0.374,0.308,0.393,0.772,0.479
96,2017-18,23,MEM,NBA,Wayne Selden,35,9,692,6,14,3.5,7.6,2.5,6.3,2.3,3.1,0.8,2.1,2.9,3.4,0.9,0.3,2.8,3.1,16.9,0.431,0.456,0.402,0.522,0.746,0.551
97,2017-18,33,UTA,NBA,Thabo Sefolosha,38,6,806,5.3,10.7,3.8,7,1.4,3.8,2,2.4,1.3,5.9,7.2,1.5,2.3,0.5,1.3,2.6,13.9,0.492,0.551,0.381,0.558,0.815,0.591
98,2017-18,29,WAS,NBA,Mike Scott,76,1,1406,7.1,13.4,5.4,9.2,1.7,4.2,1.3,1.9,1.3,5,6.3,2,0.6,0.3,2,3.8,17.1,0.527,0.582,0.405,0.59,0.658,0.599
99,2017-18,24,ATL,NBA,Dennis Schroder,67,67,2078,8.7,19.9,7.3,15.3,1.3,4.5,3.9,4.6,0.8,2.8,3.6,7.2,1.2,0.1,3.2,2.5,22.5,0.436,0.48,0.29,0.469,0.849,0.515
100,2017-18,26,WAS,NBA,Tomas Satoransky,73,30,1643,4.4,8.4,3.4,6.2,1,2.2,1.6,2.1,1.6,3.5,5.1,6.3,1.1,0.3,1.8,2.9,11.5,0.523,0.544,0.465,0.585,0.781,0.615
101,2017-18,23,PHI,NBA,Dario Saric,78,73,2310,6.3,13.9,3.8,7.7,2.4,6.2,2.8,3.2,2.4,5.7,8.1,3.1,0.8,0.3,2.3,2.5,17.8,0.453,0.501,0.393,0.541,0.86,0.582
102,2017-18,24,SAC,NBA,JaKarr Sampson,22,6,344,4.6,8.5,4.1,7.4,0.5,1,1,1.7,2.2,6,8.2,0.9,0.8,2.3,0.8,5,10.8,0.543,0.549,0.5,0.574,0.625,0.585
103,2017-18,21,IND,NBA,Domantas Sabonis,74,19,1810,6.8,13.1,6.5,12.4,0.3,0.7,3.3,4.5,3.3,8.1,11.4,3,0.8,0.6,2.7,4.4,17.1,0.514,0.524,0.351,0.524,0.75,0.567
104,2017-18,21,BRK,NBA,D'Angelo Russell,48,35,1234,8.1,19.6,5.5,11.5,2.6,8.1,2.8,3.8,0.9,4.6,5.5,7.3,1.1,0.5,4.3,2.7,21.7,0.414,0.477,0.324,0.481,0.74,0.509
105,2017-18,27,UTA,NBA,Ricky Rubio,77,77,2254,5.5,13.2,4,8.8,1.5,4.4,3.5,4.1,0.7,4.9,5.6,6.5,1.9,0.2,3.3,3.3,16.1,0.418,0.451,0.352,0.476,0.866,0.537
106,2017-18,23,BOS,NBA,Terry Rozier,80,16,2068,5.5,13.9,2.8,6.9,2.7,7,2,2.6,1.1,5.4,6.5,4,1.4,0.3,1.4,2.1,15.7,0.395,0.41,0.381,0.491,0.772,0.52
107,2017-18,26,ORL,NBA,Terrence Ross,24,20,600,4.6,11.5,2.8,5.9,1.8,5.6,1.6,2.2,0.6,3.8,4.4,2.3,1.6,0.7,1.7,2.7,12.5,0.398,0.469,0.323,0.476,0.75,0.505
108,2017-18,29,TOT,NBA,Derrick Rose,25,7,420,6.9,15.9,6.3,13.4,0.6,2.6,3.4,3.9,1.1,1.9,3,3.2,0.6,0.3,3,1.4,17.9,0.435,0.474,0.233,0.454,0.87,0.507
109,2017-18,31,NOP,NBA,Rajon Rondo,65,63,1705,4.9,10.4,3.8,7.3,1.1,3.2,0.5,1,0.7,4.9,5.6,11.3,1.5,0.2,3.2,2.5,11.3,0.468,0.526,0.333,0.518,0.543,0.522
110,2017-18,24,IND,NBA,Glenn Robinson,23,1,338,3.8,9.1,2.3,5.4,1.5,3.6,1,1.2,1.2,2.8,3.9,1.8,1.4,0.1,0.5,1.5,10.1,0.424,0.431,0.412,0.506,0.818,0.529
111,2017-18,22,WAS,NBA,Devin Robinson,1,0,13,2.8,8.3,2.8,8.3,0,0,0,0,5.5,8.3,13.8,0,2.8,0,0,5.5,5.5,0.333,0.333,,0.333,,0.333
112,2017-18,26,OKC,NBA,Andre Roberson,39,39,1037,3,5.6,2.7,4.4,0.3,1.2,0.4,1.3,2.6,3.8,6.4,1.6,1.6,1.2,1,3.1,6.7,0.537,0.627,0.222,0.562,0.316,0.543
113,2017-18,25,LAC,NBA,Austin Rivers,61,59,2057,6,14.1,3.6,7.8,2.4,6.3,1.8,2.8,0.5,2.1,2.5,4.2,1.3,0.3,1.9,2.7,16.1,0.424,0.461,0.378,0.508,0.642,0.526
