Rk,Player,Season,Age,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
68,Hakeem Olajuwon,1996-97,34,HOU,NBA,16,1.8,16,629,147,249,147,246,0,3,76,104,46,128,174,54,33,41,46,61,370,0.59,0.598,0,0.59,0.731,0.628
69,Gary Payton,1995-96,27,SEA,NBA,21,1.8,21,911,162,334,121,234,41,100,69,109,19,89,108,143,37,7,62,69,434,0.485,0.517,0.41,0.546,0.633,0.568
70,Ray Allen,2000-01,25,MIL,NBA,18,1.7,18,768,158,331,101,212,57,119,79,86,19,55,74,108,24,10,43,44,452,0.477,0.476,0.479,0.563,0.919,0.613
71,Clyde Drexler,1994-95,32,HOU,NBA,22,1.7,22,849,155,322,125,223,30,99,110,140,45,109,154,111,33,15,45,68,450,0.481,0.561,0.303,0.528,0.786,0.587
72,Tim Duncan,2006-07,30,SAS,NBA,20,1.7,20,736,174,334,174,334,0,0,96,149,73,156,229,65,13,62,59,59,444,0.521,0.521,,0.521,0.644,0.556
73,Patrick Ewing,1993-94,31,NYK,NBA,25,1.7,25,1032,210,481,206,470,4,11,123,163,88,205,293,65,32,76,83,94,547,0.437,0.438,0.364,0.441,0.755,0.495
74,Hakeem Olajuwon,1994-95,32,HOU,NBA,22,1.7,22,929,306,576,304,572,2,4,111,163,44,183,227,98,26,62,69,95,725,0.531,0.531,0.5,0.533,0.681,0.56
75,Scottie Pippen,1990-91,25,CHI,NBA,17,1.7,17,704,142,282,138,265,4,17,80,101,37,114,151,99,42,19,55,58,368,0.504,0.521,0.235,0.511,0.792,0.564
76,Rajon Rondo,2009-10,23,BOS,NBA,24,1.7,24,975,151,326,142,302,9,24,68,114,38,96,134,223,46,3,72,57,379,0.463,0.47,0.375,0.477,0.596,0.504
77,Ben Wallace,2002-03,28,DET,NBA,17,1.7,17,722,53,109,53,108,0,1,45,101,86,191,277,28,42,52,15,50,151,0.486,0.491,0,0.486,0.446,0.492
78,Ben Wallace,2004-05,30,DET,NBA,25,1.7,25,979,102,212,102,208,0,4,47,102,95,187,282,25,43,59,30,65,251,0.481,0.49,0,0.481,0.461,0.489
79,Kareem Abdul-Jabbar,1983-84,36,LAL,NBA,21,1.6,,767,206,371,206,371,0,0,90,120,56,117,173,79,23,45,45,71,502,0.555,0.555,,0.555,0.75,0.592
