Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
74,Baron Davis,2000,2012,TOT,NBA,50,4,46,1851,329,745,230,462,99,283,185,261,49,164,213,311,114,24,131,177,942,0.442,0.498,0.35,0.508,0.709,0.548
75,Richard Hamilton,2003,2013,TOT,NBA,130,4,126,5039,943,2148,872,1939,71,209,614,714,157,349,506,467,122,24,348,401,2571,0.439,0.45,0.34,0.456,0.86,0.522
76,Mark Jackson,1988,2004,TOT,NBA,131,4,109,3776,438,1013,341,732,97,281,212,273,113,364,477,905,131,8,292,225,1185,0.432,0.466,0.345,0.48,0.777,0.523
77,Bobby Jones,1980,1986,PHI,NBA,97,4,16,2594,408,767,408,764,0,3,281,340,160,274,434,209,94,129,148,303,1097,0.532,0.534,0,0.532,0.826,0.598
78,Jerome Kersey,1985,2000,TOT,NBA,126,4,71,3394,599,1277,597,1256,2,21,357,491,283,434,717,233,168,80,163,427,1557,0.469,0.475,0.095,0.47,0.727,0.521
79,Boris Diaw,2006,2017,TOT,NBA,119,3.9,53,3144,448,889,400,746,48,143,153,208,145,375,520,382,72,52,181,261,1097,0.504,0.536,0.336,0.531,0.736,0.559
80,Marc Gasol,2011,2017,MEM,NBA,59,3.9,59,2344,358,794,351,776,7,18,290,361,121,405,526,204,53,103,100,204,1013,0.451,0.452,0.389,0.455,0.803,0.532
Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
81,Hersey Hawkins,1989,2001,TOT,NBA,74,3.9,68,2529,326,716,227,466,99,250,292,322,74,212,286,195,119,29,122,188,1043,0.455,0.487,0.396,0.524,0.907,0.608
82,Moses Malone,1980,1991,TOT,NBA,80,3.9,26,3200,651,1363,650,1356,1,7,500,647,401,650,1051,127,70,122,207,197,1803,0.478,0.479,0.143,0.478,0.773,0.547
83,Bruce Bowen,2000,2009,TOT,NBA,135,3.8,122,4191,286,726,118,328,168,398,68,123,60,306,366,177,108,64,84,363,808,0.394,0.36,0.422,0.51,0.553,0.518
84,Tony Parker,2002,2018,SAS,NBA,226,3.8,213,7758,1613,3501,1494,3116,119,385,700,958,108,558,666,1143,198,19,594,429,4045,0.461,0.479,0.309,0.478,0.731,0.516
85,John Salley,1987,2000,TOT,NBA,134,3.8,6,2694,296,586,296,584,0,2,265,384,244,344,588,104,49,159,107,420,857,0.505,0.507,0,0.505,0.69,0.568
86,John Starks,1991,2001,TOT,NBA,96,3.8,55,3035,450,1069,274,594,176,475,287,378,37,234,271,393,120,9,224,323,1363,0.421,0.461,0.371,0.503,0.759,0.552
87,Trevor Ariza,2007,2018,TOT,NBA,102,3.7,90,3293,370,869,208,428,162,441,153,212,100,405,505,192,139,25,118,267,1055,0.426,0.486,0.367,0.519,0.722,0.548
88,Dale Davis,1992,2007,TOT,NBA,137,3.7,116,3662,366,687,366,685,0,2,168,334,389,702,1091,87,79,126,153,408,900,0.533,0.534,0,0.533,0.503,0.54
89,Eddie Jones,1995,2008,TOT,NBA,81,3.7,66,2765,348,804,224,480,124,324,217,277,57,270,327,197,105,61,107,239,1037,0.433,0.467,0.383,0.51,0.783,0.56
90,Toni Kukoc,1994,2006,TOT,NBA,99,3.7,32,2664,386,878,278,562,108,316,184,264,104,283,387,317,95,29,141,215,1064,0.44,0.495,0.342,0.501,0.697,0.535
91,Dikembe Mutombo,1994,2009,TOT,NBA,101,3.7,72,3117,303,586,303,585,0,1,312,444,296,666,962,78,40,251,149,259,918,0.517,0.518,0,0.517,0.703,0.587
92,Dennis Johnson,1980,1990,TOT,NBA,141,3.6,85,5486,910,2065,884,1956,26,109,560,675,171,405,576,865,196,64,373,449,2406,0.441,0.452,0.239,0.447,0.83,0.509
93,Sidney Moncrief,1980,1991,TOT,NBA,93,3.6,40,3226,491,1033,474,975,17,58,488,602,189,280,469,317,106,36,224,285,1487,0.475,0.486,0.293,0.484,0.811,0.573
94,Larry Nance,1982,1993,TOT,NBA,68,3.6,41,2428,440,813,440,812,0,1,190,256,184,351,535,160,59,144,108,220,1070,0.541,0.542,0,0.541,0.742,0.578
95,Jason Terry,2005,2018,TOT,NBA,124,3.6,64,3988,634,1437,413,863,221,574,261,315,50,254,304,375,112,24,189,276,1750,0.441,0.479,0.385,0.518,0.829,0.555
96,Chris Webber,1994,2007,TOT,NBA,80,3.6,80,2900,617,1330,603,1278,14,52,247,404,220,476,696,291,91,92,227,286,1495,0.464,0.472,0.269,0.469,0.611,0.496
97,Joe Dumars,1986,1999,DET,NBA,112,3.5,112,4097,646,1398,593,1250,53,148,407,476,95,162,257,512,91,6,205,227,1752,0.462,0.474,0.358,0.481,0.855,0.545
98,Michael Finley,2001,2010,TOT,NBA,129,3.5,96,3907,549,1314,349,799,200,515,227,262,84,372,456,229,100,32,124,217,1525,0.418,0.437,0.388,0.494,0.866,0.533
99,Kevin Johnson,1989,2000,PHO,NBA,105,3.5,93,3879,705,1504,683,1414,22,90,594,713,70,279,349,935,132,30,354,233,2026,0.469,0.483,0.244,0.476,0.833,0.557
100,Tracy McGrady,2000,2013,TOT,NBA,50,3.5,38,1724,397,933,341,740,56,193,259,342,63,223,286,249,53,47,134,93,1109,0.426,0.461,0.29,0.456,0.757,0.512
