,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS,PID
3,Shot Area,Left Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4,49,Left Corner 3,1628395
4,Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4,49,Right Corner 3,1628395
5,Shot Area,Above the Break 3,0,4,0.0,0,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,1,1,1,4,1,4,4,1,1,4,4,49,Above the Break 3,1628395
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4,49,Backcourt,1628395
0,Shot Area,Restricted Area,33,66,0.5,0,0,0.0,0.5,6,0.424,0.576,0.0,0.0,0.424,0.576,1,1,2,4,4,4,2,7,1,3,4,1,4,3,49,Restricted Area,1627761
1,Shot Area,In The Paint (Non-RA),8,28,0.286,0,0,0.0,0.286,4,0.375,0.625,0.0,0.0,0.375,0.625,2,2,4,4,4,4,5,6,2,2,4,1,5,2,49,In The Paint (Non-RA),1627761
2,Shot Area,Mid-Range,1,4,0.25,0,0,0.0,0.25,1,0.0,1.0,0.0,0.0,0.0,1.0,6,5,6,4,4,4,6,5,3,1,4,1,6,1,49,Mid-Range,1627761
3,Shot Area,Left Corner 3,3,4,0.75,3,4,0.75,1.125,0,0.0,0.0,1.0,0.0,1.0,0.0,4,5,1,2,3,1,1,1,3,4,1,1,1,4,49,Left Corner 3,1627761
4,Shot Area,Right Corner 3,2,7,0.286,2,7,0.286,0.429,0,0.0,0.0,1.0,0.0,1.0,0.0,5,4,4,3,2,3,4,1,3,4,1,1,1,4,49,Right Corner 3,1627761
5,Shot Area,Above the Break 3,6,19,0.316,6,19,0.316,0.474,0,0.0,0.0,1.0,0.0,1.0,0.0,3,3,3,1,1,2,3,1,3,4,1,1,1,4,49,Above the Break 3,1627761
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,3,4,4,1,6,4,49,Backcourt,1627761
0,Shot Area,Restricted Area,56,96,0.583,0,0,0.0,0.583,15,0.536,0.464,0.0,0.0,0.536,0.464,2,2,1,4,4,4,2,7,1,3,4,2,4,3,49,Restricted Area,1627733
1,Shot Area,In The Paint (Non-RA),11,43,0.256,0,0,0.0,0.256,6,0.364,0.636,0.0,0.0,0.364,0.636,5,4,5,4,4,4,5,6,3,1,4,2,6,1,49,In The Paint (Non-RA),1627733
2,Shot Area,Mid-Range,2,23,0.087,0,0,0.0,0.087,2,0.5,0.5,0.0,0.0,0.5,0.5,6,6,6,4,4,4,6,5,2,2,4,2,5,2,49,Mid-Range,1627733
3,Shot Area,Left Corner 3,18,44,0.409,18,44,0.409,0.614,0,0.0,0.0,1.0,0.0,1.0,0.0,3,3,2,2,2,1,1,1,4,4,1,2,1,5,49,Left Corner 3,1627733
4,Shot Area,Right Corner 3,13,39,0.333,13,39,0.333,0.5,1,0.0,0.0,1.0,0.0,1.0,0.0,4,5,4,3,3,3,4,4,4,4,1,2,1,5,49,Right Corner 3,1627733
5,Shot Area,Above the Break 3,87,239,0.364,87,239,0.364,0.546,0,0.0,0.0,0.989,0.011,0.989,0.011,1,1,3,1,1,2,3,1,4,4,3,1,3,4,49,Above the Break 3,1627733
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,2,7,5,49,Backcourt,1627733
0,Shot Area,Restricted Area,43,55,0.782,0,0,0.0,0.782,4,0.837,0.163,0.0,0.0,0.837,0.163,2,2,1,4,5,4,2,7,2,2,4,1,5,2,49,Restricted Area,202722
1,Shot Area,In The Paint (Non-RA),11,24,0.458,0,0,0.0,0.458,1,0.909,0.091,0.0,0.0,0.909,0.091,5,4,3,4,5,4,5,5,1,3,4,1,4,3,49,In The Paint (Non-RA),202722
2,Shot Area,Mid-Range,13,35,0.371,0,0,0.0,0.371,1,0.769,0.231,0.0,0.0,0.769,0.231,3,3,5,4,5,4,6,5,3,1,4,1,6,1,49,Mid-Range,202722
3,Shot Area,Left Corner 3,5,12,0.417,5,12,0.417,0.625,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,4,3,3,2,3,1,4,4,1,1,1,4,49,Left Corner 3,202722
4,Shot Area,Right Corner 3,13,24,0.542,13,24,0.542,0.813,0,0.0,0.0,1.0,0.0,1.0,0.0,3,4,2,2,2,1,1,1,4,4,1,1,1,4,49,Right Corner 3,202722
5,Shot Area,Above the Break 3,76,215,0.353,76,215,0.353,0.53,0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,6,1,1,3,4,1,4,4,1,1,1,4,49,Above the Break 3,202722
6,Shot Area,Backcourt,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,1,7,4,49,Backcourt,202722
0,Shot Area,Restricted Area,17,31,0.548,0,0,0.0,0.548,3,0.353,0.647,0.0,0.0,0.353,0.647,2,2,1,4,4,4,3,7,1,2,4,2,4,2,49,Restricted Area,201976
