,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,PID
206,Overall,2017-18,1,0,1,0.0,5.3,100.0,87.2,12.8,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.5,0.5,0.154,102.03,0.048,1,2,1.0,2.0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,202330
207,Overall,2017-18,3,3,0,1.0,2.2,80.4,105.6,-25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.115,96.48,0.129,1,2,0.3,0.7,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203687
208,Overall,2017-18,20,3,17,0.15,18.9,105.1,110.7,-5.6,0.083,1.16,14.2,0.029,0.092,0.058,12.3,0.463,0.472,0.152,98.99,0.053,41,109,2.1,5.5,0.376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627988
209,Overall,2017-18,76,39,37,0.513,25.9,110.3,105.3,5.0,0.083,1.36,14.8,0.092,0.208,0.152,10.9,0.573,0.582,0.151,98.03,0.097,287,502,3.8,6.6,0.572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203089
210,Overall,2017-18,25,15,10,0.6,11.1,106.8,111.2,-4.4,0.06,1.33,11.8,0.068,0.156,0.109,8.9,0.48,0.511,0.138,97.72,0.061,29,75,1.2,3.0,0.387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627823
211,Overall,2017-18,48,20,28,0.417,10.3,103.9,105.3,-1.4,0.109,0.94,12.2,0.13,0.276,0.201,12.9,0.57,0.604,0.209,99.76,0.134,91,164,1.9,3.4,0.555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626195
212,Overall,2017-18,75,21,54,0.28,22.1,102.3,109.5,-7.2,0.101,1.23,12.4,0.028,0.161,0.095,10.1,0.515,0.544,0.2,99.32,0.094,273,617,3.6,8.2,0.442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626209
213,Overall,2017-18,18,4,14,0.222,13.3,102.0,107.8,-5.8,0.098,1.0,14.3,0.047,0.139,0.094,14.3,0.472,0.501,0.179,101.15,0.033,33,72,1.8,4.0,0.458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628439
214,Overall,2017-18,80,27,53,0.338,25.3,102.6,106.5,-3.9,0.127,1.25,12.4,0.03,0.149,0.087,9.9,0.54,0.557,0.243,96.83,0.109,416,933,5.2,11.7,0.446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627741
215,Overall,2017-18,52,42,10,0.808,14.6,115.5,98.4,17.1,0.093,1.18,12.2,0.084,0.179,0.133,10.3,0.569,0.594,0.188,101.74,0.092,136,239,2.6,4.6,0.569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2403
216,Overall,2017-18,67,28,39,0.418,27.0,107.2,111.4,-4.3,0.145,2.11,21.9,0.026,0.091,0.058,10.4,0.543,0.58,0.164,97.04,0.079,236,513,3.5,7.7,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201588
217,Overall,2017-18,12,8,4,0.667,15.6,103.4,106.3,-2.9,0.14,2.44,29.5,0.05,0.14,0.097,12.1,0.317,0.332,0.116,107.16,0.033,11,41,0.9,3.4,0.268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203524
218,Overall,2017-18,14,8,6,0.571,6.8,114.5,111.5,3.0,0.147,2.75,29.7,0.0,0.086,0.045,10.8,0.263,0.362,0.125,95.92,0.026,5,19,0.4,1.4,0.263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626199
