,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,VORP,YrsInLg,Player
0,24.0,60.6,2.0,1048.1999999999998,7.0200000000000005,13.920000000000002,7.220000000000001,14.26,-0.18000000000000016,-0.33999999999999986,2.8400000000000003,3.92,3.04,6.3,9.34,2.18,0.8800000000000001,0.76,3.3000000000000003,5.66,16.639999999999997,0.49319999999999997,0.49239999999999995,-0.012800000000000034,0.48800000000000004,0.7292000000000001,0.5184,-0.007000000000000034,0.2592,9.759999999999998,18.619999999999997,14.4,8.14,1.08,1.1600000000000001,17.799999999999997,20.839999999999996,98.6,102.6,-2.0799999999999996,-0.7,-2.78,0.36000000000000004,2.0,Pat Cummings
0,22.8,46.86666666666667,26.333333333333332,1010.2,5.68,11.773333333333333,5.7266666666666675,11.693333333333333,-0.04666666666666669,0.10000000000000014,1.6400000000000001,2.2000000000000006,1.4333333333333333,3.8666666666666667,5.279999999999999,6.580000000000001,1.1533333333333333,0.8,3.6466666666666665,4.633333333333333,13.113333333333332,0.47606666666666664,0.48773333333333324,0.14719999999999997,0.47686666666666666,0.7213333333333334,0.5072000000000001,0.024599999999999997,0.21220000000000003,4.833333333333334,11.733333333333333,8.406666666666668,25.819999999999993,1.5999999999999994,1.4066666666666667,22.44666666666667,19.686666666666667,96.86666666666667,111.0,-2.02,-1.1866666666666668,-3.1666666666666665,-0.07333333333333336,2.0,Paul Dawkins
0,24.4,6.6,0.0,57.2,1.9799999999999995,9.68,1.0600000000000003,9.060000000000002,0.74,0.6599999999999999,1.02,1.6,3.16,3.54,6.68,0.47999999999999954,1.14,0.0,3.3399999999999994,3.52,5.840000000000002,0.186,0.10220000000000004,0.9830000000000001,0.22480000000000008,0.021200000000000108,0.2856,0.06079999999999999,0.27740000000000004,10.16,11.559999999999999,10.899999999999999,0.0600000000000005,1.7199999999999998,0.0,22.900000000000002,17.419999999999998,60.2,109.2,-10.48,-4.539999999999999,-14.999999999999996,-0.2,2.0,Greg Deane
0,23.0,72.6,18.200000000000003,1628.6,4.88,10.339999999999996,5.0200000000000005,10.66,-0.15999999999999992,-0.3400000000000003,1.7400000000000007,3.1000000000000005,3.62,5.78,9.48,1.2599999999999996,0.9800000000000004,0.52,2.92,5.620000000000001,11.419999999999998,0.474,0.46859999999999996,-0.013599999999999973,0.4664,0.5934,0.4882,-0.04239999999999999,0.3054,10.899999999999999,17.88,14.479999999999997,4.539999999999997,1.1800000000000004,0.7800000000000001,19.740000000000002,15.66,93.6,105.60000000000001,-3.32,-0.38,-3.64,-0.72,2.0,Larry Demic
0,24.0,52.2,17.8,1228.2,7.38,16.419999999999998,6.64,14.159999999999998,0.76,2.1799999999999997,1.0799999999999998,1.34,0.44000000000000017,1.94,2.3599999999999994,2.98,1.34,0.24,1.8200000000000003,2.4,16.66,0.44700000000000006,0.46719999999999995,0.4748000000000001,0.47380000000000005,0.7399999999999999,0.49139999999999995,0.15639999999999998,0.07059999999999998,0.9000000000000004,5.700000000000001,3.2000000000000006,11.24,1.72,0.3600000000000001,9.66,20.02,100.0,113.0,-1.4800000000000002,-2.86,-4.279999999999999,-0.72,2.0,Terry Duerod
0,24.4,53.333333333333336,7.4,874.2,6.393333333333333,14.753333333333336,5.3,11.566666666666668,1.06,3.206666666666667,2.72,4.34,2.4466666666666668,4.633333333333333,7.12,3.6866666666666665,1.0933333333333333,0.12666666666666668,3.26,5.686666666666666,16.46,0.4292,0.4604666666666667,0.35146666666666665,0.4672666666666667,0.6138,0.48993333333333333,0.23306666666666667,0.29146666666666665,6.926666666666667,14.126666666666669,10.386666666666667,13.553333333333335,1.3733333333333333,0.2000000000000001,16.366666666666667,21.706666666666667,94.86666666666667,110.53333333333333,-1.6466666666666665,-2.0266666666666664,-3.726666666666666,-0.28,2.0,Earl Evans
0,25.0,47.199999999999996,4.0,658.8000000000001,5.739999999999999,12.74,5.0600000000000005,10.92,0.6600000000000001,1.84,1.1799999999999995,1.4600000000000004,0.7400000000000001,1.9,2.6600000000000006,6.340000000000001,1.5000000000000002,0.37999999999999995,3.04,6.119999999999999,13.299999999999999,0.44499999999999995,0.45139999999999997,0.27860000000000007,0.4750000000000001,0.7949999999999999,0.498,0.14900000000000002,0.08779999999999999,2.2800000000000002,5.500000000000002,3.919999999999998,20.640000000000004,1.9000000000000001,0.54,18.999999999999993,17.000000000000004,100.80000000000001,111.2,-1.8400000000000007,-2.6599999999999993,-4.540000000000001,-0.3200000000000002,2.0,Mike Evans
0,22.8,67.1,18.6,1484.9,6.335000000000001,15.810000000000002,6.1,15.209999999999999,0.1900000000000001,0.6649999999999999,2.5850000000000004,4.51,4.82,4.1,8.895,3.075,1.2000000000000004,0.09499999999999995,2.8399999999999994,3.8000000000000003,15.525,0.41080000000000005,0.41625,0.28945,0.4197000000000001,0.6612000000000001,0.43884999999999996,0.05135,0.18030000000000002,14.354999999999999,12.25,13.295000000000002,12.885000000000002,1.525,0.23000000000000004,12.315000000000001,22.879999999999995,98.75,109.0,-2.5349999999999997,-4.28,-6.815000000000001,0.42000000000000004,2.0,Gary Garland
0,23.0,73.60000000000001,3.0,2384.2,6.760000000000002,13.72,6.659999999999999,13.379999999999999,0.09999999999999998,0.3600000000000001,3.96,5.080000000000002,2.84,6.899999999999999,9.76,3.0000000000000004,0.96,1.74,2.76,3.84,17.660000000000004,0.49119999999999997,0.4988000000000001,0.15960000000000008,0.49399999999999994,0.7826,0.5496000000000001,0.025400000000000006,0.36240000000000006,9.26,20.999999999999996,15.36,12.900000000000002,1.2799999999999998,2.6599999999999997,14.52,21.199999999999996,109.60000000000001,103.60000000000001,1.3,1.4400000000000002,2.7199999999999993,2.46,2.0,Dave Greenwood
0,23.0,59.400000000000006,19.55,1414.8,4.830000000000001,13.140000000000004,4.775,13.075,0.004999999999999977,0.15500000000000005,4.734999999999999,7.799999999999999,4.68,3.0999999999999996,7.760000000000001,4.59,1.11,0.20499999999999996,4.479999999999999,3.8600000000000003,14.35,0.37075,0.37154999999999994,-0.04465000000000001,0.37270000000000003,0.6599500000000001,0.4489,0.015599999999999996,0.58795,13.855,9.365,11.580000000000002,15.755000000000003,1.4049999999999998,0.285,22.065,22.799999999999997,92.1,110.6,-4.255,-4.96,-9.215000000000002,-0.405,2.0,Roy Hamilton
