,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
396,0021800023,563,2,1,4,10:32 PM,8:49,,,MISS Bogdanovic  3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
47,0021800026,69,1,1,1,7:23 PM,5:57,Bogdanovic  3PT Jump Shot (3 PTS) (Turner 1 AST),,,18 - 17,-1,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1626167,Myles Turner,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
272,0021800026,391,2,78,3,8:31 PM,8:11,MISS Bogdanovic 7' Floating Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
281,0021800026,402,2,79,3,8:32 PM,6:58,MISS Bogdanovic 6' Pullup Jump Shot,,Harris BLOCK (1 BLK),,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,5,203925,Joe Harris,1610612751.0,Brooklyn,Nets,BKN
323,0021800026,466,1,80,3,8:44 PM,2:24,Bogdanovic 27' 3PT Step Back Jump Shot (12 PTS),,,79 - 91,12,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
364,0021800026,518,1,1,4,8:57 PM,9:44,Bogdanovic 27' 3PT Jump Shot (15 PTS) (Evans 1 AST),,,92 - 105,13,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201936,Tyreke Evans,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
34,0021800043,51,2,1,1,8:18 PM,7:25,Gibson BLOCK (1 BLK),,MISS Bogdanovic 13' Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,4,201959,Taj Gibson,1610612750.0,Minnesota,Timberwolves,MIN
38,0021800043,58,1,1,1,8:19 PM,6:58,,,Bogdanovic  3PT Jump Shot (3 PTS) (Collison 1 AST),12 - 14,2,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
51,0021800043,75,2,1,1,8:25 PM,5:29,,,MISS Bogdanovic 25' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
65,0021800043,94,2,1,1,8:26 PM,4:17,Towns BLOCK (1 BLK),,MISS Bogdanovic 10' Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,4,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN
256,0021800043,363,1,1,3,9:27 PM,9:53,,,Bogdanovic 25' 3PT Jump Shot (8 PTS) (Collison 4 AST),56 - 52,-4,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
285,0021800043,405,1,1,3,9:36 PM,7:08,,,Bogdanovic 13' Jump Shot (10 PTS) (Collison 5 AST),60 - 61,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
423,0021800043,601,1,105,4,10:11 PM,4:49,,,Bogdanovic 8' Turnaround Fadeaway Bank Jump Shot (17 PTS),81 - 92,11,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
